City_Code,City_Name,State_Code
CT01,Mumbai,ST15
CT02,Pune,ST15
CT03,Chennai,ST24
CT04,Coimbatore,ST24
CT05,Hyderabad,ST25
CT06,Jaipur,ST22
CT07,Kochi,ST13
CT08,Kolkata,ST29
CT09,Delhi,ST34
CT10,Bangalore,ST12
CT11,Ahmedabad,ST07
CT12,Noida,ST28
CT13,Patna,ST04
CT14,Surat,ST07
CT15,Bhubaneshwar,ST20
CT16,Gangtok,ST23
CT17,Vadodara,ST07
CT18,Ludhiana,ST21
CT19,Mysore,ST12
CT20,kanpur,ST28
CT21,Dehradun,ST27
CT22,Indore,ST14
CT23,Mangalore,ST12
CT24,Thrissur,ST13
CT25,Nellore,ST01
CT26,Aurangabad,ST15
CT27,Jamshedpur,ST11
CT28,Ranchi,ST11
CT29,Vellore,ST24
